auid,name,EthnicSeer,prop,lastname,firstname,Ethnea,Genni,SexMac,SSNgender,Highest_probF_ethnicity,Highest_probF_value
12405963_2,Neil Gray,ENG,0.9865333569624756,Gray,Neil,ENGLISH,M,male,M,ENGLISH,86.815
17120174_2,Lene Anette Haakstad,GER,0.9667715760111296,Anette Haakstad,Lene,NORDIC,F,female,F,NORDIC,99.861
10757249_1,Jeroen Schmitt,GER,0.9951834829831152,Schmitt,Jeroen,GERMAN,M,male,M,DUTCH,96.362
9848398_2,Hyun Ah Kim,KOR,0.9997708407920264,Ah Kim,Hyun Ah,KOREAN,F,female,-,KOREAN,99.991
4506576_3,Alan Lowe,ENG,0.9674973408576892,Lowe,Alan,ENGLISH,M,male,M,ENGLISH,85.072
8032623_1,Mark Evans,ENG,0.9630250559957956,Evans,Mark,ENGLISH,M,male,M,ENGLISH,74.54
9160631_3,Michael Alex Matar,GER,0.6235609945472995,Alex Matar,Michael,ENGLISH-GERMAN,M,male,M,ENGLISH,41.576
12045926_1,Abd El-Nasser Mohammad,ARA,0.9480565908549656,El-Nasser Mohammad,Abd,ARAB,M,male,M,ARAB,99.42
7167955_1,Henriette Moll,GER,0.5729535203268322,Moll,Henriette,GERMAN-DUTCH,F,female,F,NORDIC,39.184
19238569_1,Sergio Netto,ITA,0.9279116326682314,Netto,Sergio,HISPANIC,M,male,M,HISPANIC,76.978
